idx,topic,group,perplexity,log_perplexity,token_count,source_file,database_id
1471,,Whole Clean Corpus,34.93662478917095,3.5535356998443604,118,procon_corpus.jsonl#L1294,f8e48d71-b8de-4d55-81b0-a6b50ffd4646
1472,,Whole Clean Corpus,58.55912268814582,4.070036888122559,74,procon_corpus.jsonl#L1295,4e32ace8-5f1f-4f9c-b3af-a0c7045df8d9
1473,,Whole Clean Corpus,47.95926620040094,3.870352029800415,60,procon_corpus.jsonl#L1296,c426df52-3593-4a96-8384-c68ab6203ec6
1474,,Whole Clean Corpus,47.96030674027803,3.8703737258911133,186,procon_corpus.jsonl#L1297,497837a3-4d59-46a4-ac49-7dd7739d8580
1475,,Whole Clean Corpus,55.53376079690417,4.016991138458252,145,procon_corpus.jsonl#L1298,d409a6d1-b2c3-4eec-b609-17154480cdfb
1476,,Whole Clean Corpus,40.90002274041925,3.7111306190490723,110,procon_corpus.jsonl#L1299,8a46952e-0455-4ce2-9100-5b0775afab49
1477,,Whole Clean Corpus,45.25327000601987,3.812274932861328,55,procon_corpus.jsonl#L1300,698eaac5-3997-4fd8-a1ad-9c24968a3f13
1478,,Whole Clean Corpus,32.16203790259944,3.4707868099212646,138,procon_corpus.jsonl#L1301,80a4a174-7bfe-47d2-b06e-e727551ae23a
1479,,Whole Clean Corpus,40.599920462709505,3.703766107559204,109,procon_corpus.jsonl#L1302,dcf7cfdf-397b-4391-b199-c6108af0231d
1480,,Whole Clean Corpus,39.5939798241867,3.6786770820617676,75,procon_corpus.jsonl#L1303,5cd0d8b5-1a8f-4aef-a3cc-ade47fc57ae2
1481,,Whole Clean Corpus,43.185491702256115,3.7655045986175537,124,procon_corpus.jsonl#L1304,a396cdf1-2397-48bf-90ef-69aface3b68a
1482,,Whole Clean Corpus,26.460249477317916,3.2756435871124268,28,procon_corpus.jsonl#L1305,e01fdd80-34fa-4680-8573-8d0b5b5849a0
1483,,Whole Clean Corpus,30.55759798856728,3.4196133613586426,122,procon_corpus.jsonl#L1306,b911d01a-6332-441e-b828-b76545cd008f
1484,,Whole Clean Corpus,87.4734163652615,4.471334934234619,75,procon_corpus.jsonl#L1307,dbf08644-d0e2-4b11-bdf1-29d9f761f69e
1485,,Whole Clean Corpus,26.994221528127422,3.2956228256225586,146,procon_corpus.jsonl#L1308,428c8f53-760f-4382-a912-9d2749be6853
1486,,Whole Clean Corpus,172.555212626043,5.150717258453369,15,procon_corpus.jsonl#L1309,cca1809e-41a7-49b7-a796-ed5d6e481969
1487,,Whole Clean Corpus,43.93304116870757,3.7826666831970215,29,procon_corpus.jsonl#L1310,512349a0-6620-45c7-9578-4d9822f617be
1488,,Whole Clean Corpus,24.241302650762158,3.1880578994750977,110,procon_corpus.jsonl#L1311,fcd1ae57-6fed-494c-bb17-c92ac730ff4d
1489,,Whole Clean Corpus,41.21541048217529,3.7188122272491455,127,procon_corpus.jsonl#L1312,2782128f-e9ab-49cc-a39e-dad1d7a1e963
1490,,Whole Clean Corpus,58.27421986303218,4.065159797668457,125,procon_corpus.jsonl#L1313,682a5ad1-22ea-4023-bdb4-7d59f802cef2
1491,,Whole Clean Corpus,43.82976940974899,3.78031325340271,39,procon_corpus.jsonl#L1314,70fb878d-90be-408b-b619-610449e564cc
1492,,Whole Clean Corpus,18.481213369765683,2.916754722595215,88,procon_corpus.jsonl#L1315,51175fe2-3480-4e4b-95b3-064a0300ac6c
1493,,Whole Clean Corpus,58.6875703015648,4.072227954864502,119,procon_corpus.jsonl#L1316,a942c1d1-14b8-4c03-bd4f-90d1d319aefa
1494,,Whole Clean Corpus,69.72023724517447,4.244490623474121,58,procon_corpus.jsonl#L1317,01eebf9e-2c0f-46c1-8a79-4b634a883a26
